"Location","Year","Competitor","Round","Success"
"Cairo","2023","Xenos Dionysios","Semi","Win"
"Cairo","2023","Amirali Didar","Semi","Loss"
"Cairo","2023","Nakano Hiroki","Semi","Loss"
"Cairo","2023","Da Costa Steven","Semi","Win"
"Cairo","2023","Xenos Dionysios","Final","Loss"
"Cairo","2023","Da Costa Steven","Final","Win"
"Cairo","2023","Kozaki Yugo","Bronze","Loss"
"Cairo","2023","Amirali Didar","Bronze","Win"
"Rabat","2023","Amirali Didar","Semi","Loss"
"Rabat","2023","De Vivo Gianluca","Semi","Win"
"Rabat","2023","Almasatfa Abdel Rahman","Semi","Win"
"Rabat","2023","Nakano Soichiro","Semi","Loss"
"Rabat","2023","De Vivo Gianluca","Final","Loss"
"Rabat","2023","Almasatfa Abdel Rahman","Final","Win"
"Rabat","2023","Nakano Hiroki","Bronze","Loss"
"Rabat","2023","Amirali Didar","Bronze","Win"
"Rabat","2023","Kozaki Yugo","Bronze","Loss"
"Rabat","2023","Nakano Soichiro","Bronze","Win"
"Fukuoka","2023","Almasatfa Abdel Rahman","Semi","Win"
"Fukuoka","2023","Amirali Didar","Semi","Loss"
"Fukuoka","2023","Ghaith Afeef","Semi","Win"
"Fukuoka","2023","Xenos Dionysios","Semi","Loss"
"Fukuoka","2023","Almasatfa Abdel Rahman","Final","Win"
"Fukuoka","2023","Ghaith Afeef","Final","Loss"
"Fukuoka","2023","Yanovskyi Davyd","Bronze","Loss"
"Fukuoka","2023","Amirali Didar","Bronze","Win"
"Fukuoka","2023","Kozaki Yugo","Bronze","Loss"
"Fukuoka","2023","Xenos Dionysios","Bronze","Win"
"Dublin","2023","Almasatfa Abdel Rahman","Semi","Loss"
"Dublin","2023","Xenos Dionysios","Semi","Win"
"Dublin","2023","Kozaki Yugo","Semi","Win"
"Dublin","2023","Maresca Luca","Semi","Loss"
"Dublin","2023","Xenos Dionysios","Final","Loss"
"Dublin","2023","Kozaki Yugo","Final","Win"
"Dublin","2023","Friere Fuentes Tomas","Bronze","Loss"
"Dublin","2023","Almasatfa Abdel Rahman","Bronze","Win"
"Dublin","2023","De Vivo Gianluca","Bronze","Win"
"Dublin","2023","Maresca Luca","Bronze","Loss"
"Lisbon","2021","Almasatfa Abdel Rahman","Semi","Win"
"Lisbon","2021","Elsawy Ali","Semi","Loss"
"Lisbon","2021","Uygur Burak","Semi","Loss"
"Lisbon","2021","Da Costa Steven","Semi","Win"
"Lisbon","2021","Almasatfa Abdel Rahman","Final","Loss"
"Lisbon","2021","Da Costa Steven","Final","Win"
"Lisbon","2021","Alzahrani Sultan","Bronze","Loss"
"Lisbon","2021","Uygur Burak","Bronze","Win"
"Lisbon","2021","Deniz Muratcan","Bronze","Loss"
"Lisbon","2021","Elsawy Ali","Bronze","Win"
"Moscow","2021","Oulad Haj Amar Youness","Semi","Loss"
"Moscow","2021","Elsawy Ali","Semi","Win"
"Moscow","2021","Aghalarzade Tural","Semi","Loss"
"Moscow","2021","Tadissi Yves Martial","Semi","Win"
